language,age_group,education_level,exposure_type,daily_practice_hours,spoken_at_home,reading_score,writing_score,speaking_score,overall_proficiency
Tamil,Child (6-12),Primary,Media + School,6,No,61.5,51.7,45.7,53.3
Hindi,Adult (20-35),Secondary,Immersive,10,Yes,100.0,90.6,81.3,91.1
Hindi,Child (6-12),No Formal,School Only,4,No,18.4,30.0,30.9,26.2
Kannada,Adult (20-35),No Formal,Immersive,11,No,60.2,48.5,58.4,55.6
Kannada,Teenager (13-19),No Formal,School Only,4,Yes,47.1,39.7,47.2,44.5
English,Adult (20-35),Secondary,Immersive,6,No,90.8,89.8,89.0,89.9
Tamil,Senior (36+),Secondary,Native,8,Yes,100.0,96.9,100.0,98.9
Tamil,Teenager (13-19),Graduate,Media + School,10,Yes,100.0,98.0,100.0,99.3
Marathi,Senior (36+),Primary,Media + School,14,No,67.6,66.8,78.4,70.6
Marathi,Child (6-12),Graduate,Native,8,Yes,100.0,100.0,100.0,100.0
Marathi,Child (6-12),Primary,School Only,8,Yes,63.9,62.0,71.3,65.5
Kannada,Child (6-12),Secondary,School Only,5,Yes,85.5,71.6,93.7,83.1
Tamil,Adult (20-35),Secondary,School Only,9,No,84.6,67.8,63.5,72.4
Tamil,Teenager (13-19),Graduate,Native,5,Yes,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Postgraduate,School Only,2,No,91.4,79.4,80.1,83.8
Kannada,Child (6-12),Graduate,Native,0,No,98.0,82.4,88.6,89.7
Bengali,Teenager (13-19),Primary,Immersive,6,Yes,74.6,66.2,67.6,69.6
Kannada,Child (6-12),Graduate,Immersive,3,Yes,100.0,89.6,100.0,96.4
Bengali,Senior (36+),No Formal,Native,0,No,63.4,56.8,68.0,62.5
Hindi,Teenager (13-19),Primary,Media + School,14,No,66.5,55.8,75.8,65.5
English,Teenager (13-19),Primary,Immersive,7,Yes,93.4,81.5,84.0,86.4
Tamil,Teenager (13-19),Postgraduate,School Only,11,Yes,100.0,92.2,93.9,95.4
Hindi,Senior (36+),Secondary,Native,5,No,98.1,76.7,95.6,89.9
Tamil,Teenager (13-19),Primary,School Only,5,No,41.2,42.0,50.7,44.3
Marathi,Senior (36+),Secondary,School Only,1,No,66.2,46.4,63.4,58.4
English,Teenager (13-19),Graduate,Media + School,14,No,98.1,97.4,100.0,98.4
English,Adult (20-35),No Formal,School Only,0,No,18.7,33.1,39.2,29.9
Hindi,Child (6-12),Postgraduate,Media + School,12,Yes,100.0,100.0,100.0,100.0
English,Adult (20-35),Secondary,Immersive,13,No,100.0,99.5,100.0,99.8
Bengali,Child (6-12),Primary,Native,13,No,77.7,70.6,80.8,76.1
English,Senior (36+),Secondary,School Only,1,Yes,59.5,65.2,77.7,67.0
Tamil,Adult (20-35),Primary,Native,3,Yes,78.8,69.1,79.9,75.7
Tamil,Teenager (13-19),Secondary,School Only,1,No,60.8,59.3,67.5,62.3
Tamil,Child (6-12),Primary,Native,0,No,69.4,94.8,90.0,84.5
Tamil,Child (6-12),Graduate,School Only,6,Yes,100.0,99.7,100.0,99.9
Bengali,Adult (20-35),Primary,School Only,10,No,59.5,56.4,38.9,52.2
Kannada,Senior (36+),Primary,School Only,10,No,74.8,42.3,63.8,60.1
Marathi,Adult (20-35),No Formal,School Only,14,Yes,62.8,65.6,56.5,61.9
Hindi,Senior (36+),Primary,School Only,11,No,58.7,77.9,72.8,69.6
Tamil,Senior (36+),No Formal,School Only,7,Yes,37.6,48.7,64.6,49.6
English,Child (6-12),Postgraduate,School Only,5,Yes,100.0,94.1,100.0,97.9
Tamil,Adult (20-35),No Formal,School Only,3,Yes,41.8,42.6,47.5,43.8
English,Adult (20-35),Graduate,School Only,13,Yes,100.0,87.2,100.0,95.5
Marathi,Senior (36+),No Formal,Native,5,No,61.2,53.8,78.1,63.7
Marathi,Adult (20-35),Postgraduate,Media + School,2,Yes,96.6,87.3,100.0,94.4
Marathi,Teenager (13-19),Graduate,School Only,11,No,92.9,82.0,71.2,82.6
English,Teenager (13-19),Secondary,Media + School,7,No,83.9,80.3,72.4,79.2
Tamil,Adult (20-35),Secondary,School Only,9,No,85.7,64.7,70.6,73.8
Marathi,Adult (20-35),No Formal,School Only,13,No,56.6,29.5,48.0,44.5
Bengali,Senior (36+),No Formal,Native,12,No,74.1,58.8,64.4,65.8
English,Teenager (13-19),Postgraduate,Immersive,12,Yes,100.0,100.0,100.0,100.0
English,Teenager (13-19),Postgraduate,Immersive,1,Yes,100.0,93.6,97.1,96.9
Tamil,Child (6-12),Primary,Native,4,Yes,91.0,70.1,81.4,80.8
English,Senior (36+),Postgraduate,Media + School,0,Yes,92.3,100.0,90.7,94.5
English,Child (6-12),Primary,Immersive,5,No,64.7,66.8,60.7,64.2
Marathi,Teenager (13-19),Graduate,Native,1,Yes,100.0,100.0,100.0,100.0
Tamil,Senior (36+),No Formal,Native,3,No,57.5,60.4,64.6,60.6
Marathi,Adult (20-35),Graduate,Immersive,5,No,100.0,90.8,100.0,96.8
Marathi,Senior (36+),Postgraduate,Media + School,9,Yes,100.0,98.1,100.0,99.3
Tamil,Adult (20-35),Graduate,Native,10,Yes,100.0,100.0,100.0,100.0
Hindi,Adult (20-35),Graduate,School Only,7,Yes,92.2,91.1,87.5,90.4
Marathi,Senior (36+),Graduate,Media + School,11,Yes,100.0,99.7,92.7,97.7
Bengali,Adult (20-35),Postgraduate,Media + School,7,No,100.0,100.0,100.0,100.0
Bengali,Child (6-12),Graduate,Immersive,10,No,100.0,92.1,97.1,96.4
English,Teenager (13-19),Primary,Immersive,5,Yes,75.3,78.5,87.6,80.1
Bengali,Adult (20-35),Postgraduate,School Only,3,No,79.3,85.9,94.1,86.0
English,Child (6-12),Graduate,Native,7,No,100.0,99.4,100.0,99.8
Hindi,Adult (20-35),Postgraduate,Immersive,12,No,100.0,99.1,94.9,98.2
Tamil,Teenager (13-19),Secondary,Immersive,7,Yes,100.0,73.9,96.3,89.8
Tamil,Child (6-12),Primary,Media + School,9,No,71.1,74.1,100.0,80.8
Tamil,Teenager (13-19),Graduate,Immersive,13,Yes,100.0,97.4,96.7,98.1
Bengali,Teenager (13-19),Secondary,Immersive,0,Yes,80.1,100.0,66.8,83.1
Hindi,Child (6-12),Secondary,Immersive,3,No,78.8,78.3,92.0,82.6
Bengali,Child (6-12),Postgraduate,Immersive,3,No,100.0,98.9,100.0,99.6
Bengali,Child (6-12),Secondary,Media + School,6,Yes,95.9,77.7,89.0,87.5
Hindi,Senior (36+),Primary,School Only,13,No,66.0,58.9,73.7,65.8
Hindi,Child (6-12),Primary,School Only,13,No,58.6,75.0,65.5,66.4
Hindi,Child (6-12),No Formal,Native,10,Yes,90.1,57.4,59.1,69.4
Hindi,Child (6-12),Primary,Immersive,6,Yes,79.4,78.1,82.3,79.8
Tamil,Child (6-12),Secondary,Media + School,12,Yes,100.0,90.8,97.8,96.1
Kannada,Adult (20-35),Primary,Native,10,Yes,85.1,96.1,87.5,89.7
Kannada,Senior (36+),Postgraduate,Native,14,No,100.0,100.0,100.0,100.0
Hindi,Teenager (13-19),No Formal,School Only,7,No,43.0,29.0,36.8,36.2
Kannada,Child (6-12),Secondary,Media + School,10,Yes,77.9,89.6,100.0,88.6
Kannada,Adult (20-35),No Formal,Media + School,4,Yes,70.1,42.6,56.9,56.5
Hindi,Adult (20-35),Secondary,Media + School,6,Yes,97.3,95.7,95.7,96.3
Kannada,Adult (20-35),Postgraduate,School Only,7,No,92.3,94.0,85.3,90.8
Bengali,Teenager (13-19),No Formal,School Only,14,Yes,52.2,36.2,61.6,49.4
English,Child (6-12),Graduate,School Only,8,No,89.8,83.9,85.1,86.3
English,Senior (36+),Secondary,School Only,2,Yes,73.7,67.2,59.5,67.2
Hindi,Senior (36+),Graduate,School Only,2,Yes,90.8,77.6,100.0,88.9
Tamil,Adult (20-35),No Formal,Immersive,3,Yes,61.0,44.1,82.1,61.4
Hindi,Teenager (13-19),Graduate,Immersive,4,No,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Graduate,Media + School,9,No,100.0,96.7,100.0,98.8
English,Teenager (13-19),No Formal,Native,0,No,54.5,22.4,57.7,44.2
Hindi,Senior (36+),Postgraduate,Media + School,14,Yes,100.0,95.3,100.0,98.4
Marathi,Adult (20-35),Graduate,Native,14,No,100.0,100.0,100.0,100.0
Bengali,Child (6-12),Graduate,School Only,6,No,97.1,73.9,98.4,89.4
Kannada,Senior (36+),Postgraduate,Native,8,Yes,100.0,100.0,100.0,100.0
Tamil,Adult (20-35),Graduate,Media + School,7,Yes,94.5,98.7,99.8,97.6
Marathi,Adult (20-35),Graduate,Media + School,14,No,100.0,94.4,100.0,98.0
Kannada,Child (6-12),Graduate,Native,14,No,99.3,96.7,97.9,98.0
Kannada,Child (6-12),Primary,Immersive,4,No,70.4,81.2,80.5,77.2
Hindi,Child (6-12),Postgraduate,School Only,13,No,100.0,94.9,100.0,98.2
Kannada,Teenager (13-19),Graduate,School Only,13,Yes,100.0,100.0,97.9,99.4
Bengali,Child (6-12),Postgraduate,Media + School,3,Yes,100.0,100.0,86.5,96.0
Marathi,Adult (20-35),Secondary,Immersive,11,Yes,88.0,100.0,100.0,95.8
Kannada,Child (6-12),Secondary,Native,6,No,85.2,83.2,100.0,88.9
Hindi,Adult (20-35),Graduate,School Only,4,No,65.2,87.9,81.3,78.0
Bengali,Senior (36+),Postgraduate,Immersive,6,Yes,100.0,98.6,100.0,99.5
English,Teenager (13-19),Postgraduate,School Only,11,Yes,95.0,100.0,100.0,98.2
Marathi,Senior (36+),Postgraduate,Immersive,0,No,100.0,96.9,100.0,98.9
Kannada,Senior (36+),Primary,Immersive,0,No,43.4,44.2,73.6,52.7
Hindi,Adult (20-35),Secondary,Media + School,9,Yes,88.9,82.8,78.6,83.7
English,Senior (36+),Postgraduate,School Only,13,Yes,100.0,93.2,100.0,97.6
English,Adult (20-35),Postgraduate,Native,12,Yes,100.0,89.7,100.0,96.4
Tamil,Child (6-12),Primary,Media + School,2,No,49.1,64.8,71.7,61.4
Bengali,Child (6-12),Primary,Media + School,13,No,72.3,75.9,61.6,70.4
Kannada,Adult (20-35),Postgraduate,Native,10,No,100.0,95.7,100.0,98.5
Hindi,Child (6-12),No Formal,Media + School,1,No,43.3,26.9,54.9,41.0
Tamil,Teenager (13-19),Postgraduate,Immersive,1,No,90.6,89.7,89.1,89.8
Bengali,Senior (36+),Postgraduate,Immersive,6,No,100.0,94.8,100.0,98.2
Tamil,Teenager (13-19),Primary,School Only,11,Yes,49.9,76.2,97.8,73.5
Marathi,Senior (36+),Primary,School Only,9,Yes,63.5,61.9,65.7,63.6
Bengali,Child (6-12),Postgraduate,Native,1,No,100.0,94.1,99.4,97.8
Bengali,Teenager (13-19),Postgraduate,School Only,10,Yes,100.0,98.1,100.0,99.3
Kannada,Child (6-12),Postgraduate,Immersive,3,No,100.0,93.8,94.3,96.1
Bengali,Senior (36+),Primary,Native,1,Yes,65.3,71.3,88.6,74.4
Tamil,Adult (20-35),Postgraduate,Native,5,No,100.0,94.5,100.0,98.1
Bengali,Adult (20-35),Postgraduate,School Only,7,Yes,100.0,100.0,100.0,100.0
Kannada,Teenager (13-19),Graduate,Immersive,9,Yes,100.0,100.0,97.5,99.2
Kannada,Child (6-12),No Formal,Native,3,No,49.9,51.6,44.9,49.0
Marathi,Child (6-12),Secondary,Immersive,14,No,92.2,95.9,96.3,94.7
Tamil,Teenager (13-19),No Formal,Immersive,4,Yes,66.6,52.7,47.5,56.0
English,Adult (20-35),Graduate,Immersive,3,Yes,100.0,91.6,100.0,97.1
English,Senior (36+),Secondary,School Only,2,No,62.3,71.1,68.7,67.3
Bengali,Teenager (13-19),Postgraduate,Media + School,4,Yes,100.0,96.0,100.0,98.6
Marathi,Senior (36+),Graduate,Media + School,13,No,91.1,100.0,94.3,95.2
Hindi,Adult (20-35),Postgraduate,Native,8,No,100.0,100.0,100.0,100.0
Bengali,Child (6-12),Primary,Immersive,7,Yes,86.8,80.3,71.3,79.9
Marathi,Adult (20-35),Graduate,School Only,7,No,80.1,80.3,91.0,83.4
Tamil,Teenager (13-19),Primary,Immersive,7,Yes,78.0,70.6,94.0,80.2
Tamil,Child (6-12),Graduate,Immersive,11,Yes,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Graduate,School Only,7,No,83.4,88.2,96.9,89.1
Tamil,Teenager (13-19),Primary,Media + School,6,Yes,84.8,68.6,80.2,77.8
Tamil,Adult (20-35),Secondary,Immersive,7,No,91.9,82.5,97.4,90.3
Marathi,Teenager (13-19),No Formal,Immersive,10,No,66.9,51.4,67.0,61.5
Marathi,Adult (20-35),Postgraduate,Media + School,13,No,100.0,96.9,88.8,95.6
Kannada,Child (6-12),Graduate,School Only,7,Yes,86.3,85.2,92.8,87.9
English,Adult (20-35),Postgraduate,Native,12,No,100.0,97.8,100.0,99.2
Tamil,Child (6-12),Primary,Media + School,13,Yes,76.0,76.9,90.4,80.6
Hindi,Adult (20-35),Postgraduate,Native,7,No,100.0,97.5,100.0,99.1
Marathi,Senior (36+),Primary,Native,11,No,85.6,88.2,81.6,85.3
Hindi,Senior (36+),Postgraduate,Media + School,9,No,100.0,99.6,100.0,99.9
Hindi,Teenager (13-19),No Formal,Immersive,6,Yes,63.8,65.9,59.5,63.2
Hindi,Adult (20-35),No Formal,Native,11,Yes,71.0,80.8,87.5,79.4
Kannada,Adult (20-35),No Formal,Native,0,No,51.6,38.1,43.0,44.3
Marathi,Child (6-12),No Formal,School Only,3,No,40.6,46.7,42.2,43.2
Hindi,Teenager (13-19),No Formal,Immersive,12,Yes,60.1,68.9,77.2,68.3
Tamil,Adult (20-35),No Formal,Native,12,Yes,80.4,67.7,63.6,70.9
Bengali,Teenager (13-19),Primary,School Only,3,Yes,67.0,47.3,55.9,56.8
Hindi,Senior (36+),Graduate,Immersive,4,No,92.7,93.7,98.4,94.8
Kannada,Adult (20-35),Postgraduate,Media + School,9,Yes,100.0,94.5,100.0,98.1
Marathi,Adult (20-35),No Formal,Media + School,5,No,68.0,65.2,50.9,61.9
Kannada,Teenager (13-19),Primary,School Only,3,Yes,58.7,53.6,65.4,58.9
Hindi,Adult (20-35),Primary,Media + School,14,No,77.1,81.1,79.0,79.1
Marathi,Teenager (13-19),Primary,Native,1,No,60.6,35.0,59.7,51.4
Bengali,Adult (20-35),Graduate,Immersive,5,No,99.0,100.0,96.9,98.7
Hindi,Child (6-12),Postgraduate,Native,14,Yes,100.0,90.2,100.0,96.6
Kannada,Teenager (13-19),Graduate,Native,7,Yes,100.0,93.3,100.0,97.7
English,Adult (20-35),Secondary,Media + School,14,Yes,90.8,95.2,90.7,92.3
Tamil,Senior (36+),Primary,Native,7,No,77.2,66.8,67.7,70.7
Kannada,Adult (20-35),Secondary,Media + School,6,No,88.7,72.0,75.6,78.9
Marathi,Senior (36+),No Formal,Immersive,5,Yes,66.1,68.8,73.7,69.3
Hindi,Senior (36+),No Formal,Immersive,1,No,54.2,58.9,52.1,55.2
Tamil,Child (6-12),Graduate,Native,14,No,100.0,100.0,90.0,97.0
Hindi,Teenager (13-19),Postgraduate,School Only,6,No,100.0,99.5,94.0,98.0
Marathi,Adult (20-35),Secondary,Media + School,10,Yes,95.2,94.3,100.0,96.3
Hindi,Child (6-12),Postgraduate,Media + School,11,No,100.0,94.4,100.0,98.0
English,Adult (20-35),Graduate,Native,13,Yes,100.0,91.3,99.6,96.8
Tamil,Senior (36+),No Formal,Media + School,13,Yes,59.6,85.2,79.1,74.4
Tamil,Teenager (13-19),Postgraduate,Media + School,4,Yes,100.0,83.9,99.4,94.2
Marathi,Adult (20-35),Postgraduate,School Only,5,Yes,100.0,89.8,99.5,96.3
English,Adult (20-35),No Formal,School Only,9,Yes,55.9,46.2,48.4,50.3
Kannada,Senior (36+),Secondary,Native,7,No,81.0,93.9,94.9,89.7
Hindi,Adult (20-35),No Formal,School Only,13,Yes,67.9,51.6,59.7,59.7
Bengali,Adult (20-35),Postgraduate,Native,7,Yes,100.0,97.8,95.1,97.8
Hindi,Senior (36+),Secondary,Immersive,2,Yes,82.4,89.0,100.0,90.0
Hindi,Child (6-12),Secondary,Native,11,No,84.2,100.0,96.9,93.5
Kannada,Senior (36+),No Formal,Immersive,11,No,60.3,50.2,64.7,58.1
Hindi,Child (6-12),Postgraduate,Native,13,No,100.0,100.0,97.2,99.2
English,Teenager (13-19),Graduate,Media + School,6,No,92.9,97.9,90.8,94.0
English,Child (6-12),Postgraduate,School Only,0,Yes,92.1,95.4,94.5,94.0
Tamil,Child (6-12),Primary,Immersive,0,Yes,53.9,68.5,84.5,68.2
Marathi,Teenager (13-19),Graduate,Native,6,No,100.0,94.9,99.1,97.9
Bengali,Child (6-12),Secondary,School Only,14,No,78.6,79.9,100.0,85.5
Hindi,Senior (36+),Graduate,Native,14,No,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Secondary,School Only,9,No,67.9,79.2,63.7,70.6
Kannada,Teenager (13-19),Secondary,School Only,8,Yes,95.4,86.3,88.4,90.1
Marathi,Senior (36+),Graduate,Native,6,No,88.7,86.3,100.0,91.2
English,Teenager (13-19),Secondary,Immersive,9,No,99.0,92.4,95.0,95.5
Bengali,Teenager (13-19),Secondary,Immersive,4,No,79.2,83.9,88.8,83.7
Tamil,Adult (20-35),Primary,Media + School,7,No,70.4,66.8,64.4,67.3
English,Adult (20-35),Postgraduate,School Only,1,No,87.1,89.4,89.8,88.7
Marathi,Teenager (13-19),Postgraduate,Media + School,8,No,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Primary,Media + School,5,No,57.4,46.4,62.8,55.2
Kannada,Teenager (13-19),Graduate,Native,12,Yes,100.0,100.0,96.9,99.1
Kannada,Adult (20-35),No Formal,Native,8,Yes,83.4,72.5,54.7,71.0
Hindi,Adult (20-35),No Formal,Native,1,Yes,60.6,43.0,63.2,55.2
Marathi,Child (6-12),No Formal,School Only,2,Yes,44.8,42.3,51.4,45.9
Bengali,Child (6-12),Primary,Native,11,Yes,100.0,88.1,78.8,89.5
Tamil,Teenager (13-19),Primary,Native,7,Yes,77.2,92.6,100.0,89.4
English,Senior (36+),Secondary,School Only,0,No,64.8,54.8,77.4,65.1
Marathi,Senior (36+),No Formal,School Only,14,No,46.3,46.6,69.3,53.3
Marathi,Adult (20-35),Graduate,Immersive,9,Yes,100.0,97.5,100.0,99.1
Kannada,Adult (20-35),Graduate,Native,14,No,100.0,100.0,94.8,98.4
Hindi,Adult (20-35),No Formal,Native,14,Yes,69.0,86.5,78.5,78.0
Hindi,Teenager (13-19),No Formal,Native,14,No,64.8,53.0,86.0,67.0
Tamil,Senior (36+),No Formal,Immersive,6,No,64.8,47.9,64.7,58.9
Kannada,Child (6-12),Primary,Native,6,No,81.1,76.7,71.6,76.7
Marathi,Teenager (13-19),Primary,Immersive,12,No,77.5,81.8,65.9,75.5
Bengali,Child (6-12),Primary,Media + School,0,No,54.9,68.9,60.3,61.4
Kannada,Child (6-12),Postgraduate,Immersive,8,No,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Graduate,Media + School,7,Yes,100.0,99.7,100.0,99.9
Tamil,Child (6-12),Graduate,Native,3,Yes,100.0,93.7,100.0,97.8
Kannada,Senior (36+),Secondary,Media + School,9,No,83.4,77.2,85.5,81.9
Tamil,Child (6-12),Primary,Immersive,10,Yes,94.2,82.2,96.7,90.8
Kannada,Senior (36+),Postgraduate,School Only,4,No,84.8,91.5,75.3,84.3
English,Senior (36+),Postgraduate,Media + School,1,Yes,100.0,98.4,100.0,99.4
Kannada,Senior (36+),Graduate,Media + School,12,No,88.8,100.0,92.7,93.9
Kannada,Adult (20-35),Primary,Native,8,Yes,100.0,98.8,86.7,95.6
Tamil,Child (6-12),Secondary,Immersive,14,No,93.0,100.0,100.0,97.6
Tamil,Teenager (13-19),Primary,Media + School,11,Yes,77.6,86.5,83.8,82.6
Hindi,Teenager (13-19),No Formal,Media + School,11,No,39.4,57.9,51.7,49.6
Hindi,Child (6-12),Primary,Media + School,5,Yes,66.9,65.2,58.0,63.6
English,Adult (20-35),No Formal,Media + School,2,No,32.7,32.6,41.7,35.4
Hindi,Adult (20-35),No Formal,School Only,11,No,41.6,37.7,40.3,39.8
Kannada,Senior (36+),Secondary,Immersive,6,No,82.9,77.9,88.2,82.7
Tamil,Child (6-12),Graduate,Native,8,Yes,100.0,88.3,90.2,93.0
Hindi,Child (6-12),Primary,Native,2,Yes,79.7,61.5,74.1,71.6
Hindi,Teenager (13-19),No Formal,School Only,1,Yes,44.0,39.0,46.3,42.9
English,Child (6-12),Primary,Immersive,6,No,60.2,68.7,88.3,71.6
Marathi,Adult (20-35),Graduate,Media + School,6,Yes,95.0,98.3,100.0,97.7
English,Child (6-12),Graduate,School Only,3,No,93.9,99.3,85.3,93.2
Kannada,Teenager (13-19),Postgraduate,Immersive,10,Yes,100.0,100.0,100.0,100.0
Tamil,Senior (36+),Graduate,Media + School,8,Yes,100.0,99.2,98.4,99.2
English,Teenager (13-19),Secondary,School Only,13,Yes,87.6,75.1,100.0,86.9
Hindi,Teenager (13-19),No Formal,Immersive,7,Yes,65.5,72.2,80.2,72.3
Tamil,Senior (36+),Postgraduate,Native,12,No,100.0,99.8,100.0,99.9
Tamil,Teenager (13-19),Secondary,Native,12,Yes,100.0,99.2,86.3,95.6
Hindi,Teenager (13-19),Primary,Immersive,0,Yes,69.1,69.6,72.8,70.4
English,Child (6-12),No Formal,Native,0,No,46.9,54.0,53.7,51.4
Hindi,Child (6-12),Graduate,Immersive,4,No,95.6,71.1,93.0,86.2
Marathi,Senior (36+),No Formal,Media + School,5,Yes,58.2,46.1,50.9,51.8
Tamil,Child (6-12),Primary,Immersive,2,Yes,80.1,62.3,91.1,77.2
Bengali,Child (6-12),Postgraduate,Media + School,12,No,100.0,96.7,100.0,98.8
Bengali,Teenager (13-19),Postgraduate,School Only,8,No,100.0,80.1,100.0,93.0
Kannada,Adult (20-35),Postgraduate,Immersive,11,No,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Graduate,School Only,9,Yes,100.0,95.5,100.0,98.4
Hindi,Adult (20-35),Secondary,Native,13,Yes,100.0,91.2,98.9,96.6
Kannada,Child (6-12),Secondary,Media + School,14,Yes,86.8,95.7,89.6,90.8
Kannada,Child (6-12),No Formal,Immersive,5,No,31.5,37.6,74.5,46.5
Kannada,Senior (36+),Graduate,School Only,3,No,82.6,81.1,66.6,77.3
Tamil,Senior (36+),Postgraduate,Media + School,11,No,100.0,85.0,96.2,93.6
Marathi,Senior (36+),Postgraduate,Media + School,6,Yes,100.0,100.0,99.3,99.8
Hindi,Adult (20-35),Primary,Native,7,No,77.4,82.3,86.8,81.9
Tamil,Teenager (13-19),Primary,Native,8,Yes,86.5,83.7,100.0,89.6
Kannada,Child (6-12),Postgraduate,Media + School,12,No,100.0,100.0,91.2,97.4
Hindi,Child (6-12),Postgraduate,Media + School,10,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Graduate,Immersive,5,Yes,100.0,100.0,96.2,98.9
Marathi,Adult (20-35),Secondary,Media + School,14,No,96.9,91.3,86.7,91.9
Tamil,Senior (36+),Primary,Immersive,5,Yes,75.8,85.3,84.2,81.6
Marathi,Teenager (13-19),Secondary,Media + School,7,No,82.7,74.4,80.7,79.2
Kannada,Adult (20-35),Graduate,Native,11,Yes,100.0,100.0,100.0,100.0
Marathi,Senior (36+),Postgraduate,Immersive,4,No,100.0,100.0,100.0,100.0
Hindi,Adult (20-35),Secondary,School Only,13,No,80.2,81.3,92.6,84.3
Kannada,Teenager (13-19),Postgraduate,Native,2,Yes,100.0,100.0,100.0,100.0
Hindi,Senior (36+),Postgraduate,Immersive,11,No,100.0,100.0,100.0,100.0
Bengali,Adult (20-35),No Formal,Immersive,2,Yes,55.9,54.2,49.0,53.2
English,Teenager (13-19),Secondary,School Only,12,No,63.3,72.7,88.9,74.3
Marathi,Child (6-12),Secondary,Immersive,5,No,79.0,74.4,100.0,83.7
English,Teenager (13-19),Postgraduate,Media + School,1,No,100.0,99.9,100.0,100.0
English,Child (6-12),Graduate,School Only,5,No,80.1,95.6,88.2,88.0
Marathi,Adult (20-35),No Formal,Native,12,Yes,76.0,61.2,85.3,73.6
Kannada,Senior (36+),Postgraduate,Native,5,No,100.0,96.4,93.4,96.8
Bengali,Senior (36+),Primary,Media + School,7,No,57.8,35.3,58.1,50.0
Hindi,Adult (20-35),Primary,Native,6,Yes,71.7,94.9,78.5,81.9
Tamil,Senior (36+),No Formal,Immersive,7,Yes,64.2,43.3,77.4,60.8
Hindi,Senior (36+),Graduate,Immersive,13,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Postgraduate,Media + School,8,Yes,100.0,96.6,100.0,98.8
Hindi,Adult (20-35),Secondary,Native,5,Yes,96.1,90.1,100.0,95.2
Marathi,Teenager (13-19),No Formal,Native,13,Yes,83.4,73.9,86.0,80.9
Bengali,Child (6-12),Graduate,Media + School,2,No,85.9,82.6,94.2,87.2
Tamil,Adult (20-35),Secondary,School Only,9,Yes,86.0,63.5,94.6,80.7
Kannada,Child (6-12),Primary,Native,2,No,82.5,60.8,63.1,69.1
Hindi,Teenager (13-19),Primary,School Only,10,Yes,67.3,80.0,82.2,76.2
Hindi,Teenager (13-19),Secondary,Native,11,No,98.7,88.0,91.8,92.9
Tamil,Adult (20-35),No Formal,Native,0,No,45.9,42.8,70.9,52.3
